Month,value
Dec-21,6.83
Nov-21,6.72
Oct-21,6.88
Sep-21,6.74
Aug-21,5.93
Jul-21,5.74
Jun-21,4.74
May-21,
Apr-21,3.78
Mar-21,3.94
Feb-21,5.75
Jan-21,3.99
Dec-20,4.14
Nov-20,4.14
Oct-20,3.73
Sep-20,3.92
Aug-20,3.98
Jul-20,2.49
Jun-20,
May-20,2.51
Apr-20,2.45
Mar-20,2.59
Feb-20,2.93
Jan-20,3.58
Dec-19,4
Nov-19,3.55
Oct-19,3.24
Sep-19,3.5
Aug-19,3.24
Jul-19,3.38
Jun-19,3.04
May-19,2.88
Apr-19,3.28
Mar-19,4.53
Feb-19,
Jan-19,4.99
Dec-18,6.34
Nov-18,
Oct-18,3.78
Sep-18,3.58
Aug-18,5.88
Jul-18,6.87
Jun-18,3.36
May-18,2.88
Apr-18,3.06
Mar-18,
Feb-18,3.72
Jan-18,3.79
Dec-17,3.86
Nov-17,3.68
Oct-17,3.71
Sep-17,
Aug-17,3.74
Jul-17,3.7
Jun-17,3.72
May-17,
Apr-17,
Mar-17,3.44
Feb-17,3.88
Jan-17,4.27
Dec-16,4.05
Nov-16,3.22
Oct-16,3.33
Sep-16,3.51
Aug-16,3.39
Jul-16,3.42
Jun-16,2.95
May-16,
Apr-16,2.43
Mar-16,2.52
Feb-16,2.8
Jan-16,3.02
Dec-15,2.96
Nov-15,2.95
Oct-15,3.19
Sep-15,3.29
Aug-15,3.53
Jul-15,3.54
Jun-15,3.52
May-15,3.45
Apr-15,
Mar-15,3.5
Feb-15,3.73
Jan-15,
Dec-14,4.7
Nov-14,4.86
Oct-14,4.62
Sep-14,4.81
Aug-14,4.81
Jul-14,5.07
Jun-14,5.44
May-14,5.47
Apr-14,5.4
Mar-14,5.81
Feb-14,6.86
Jan-14,5.24
Dec-13,5.16
Nov-13,4.47
Oct-13,4.45
Sep-13,4.44
Aug-13,4.29
Jul-13,4.45
Jun-13,4.55
May-13,
Apr-13,4.82
Mar-13,4.47
Feb-13,4.23
Jan-13,4.23
Dec-12,4.35
Nov-12,4.41
Oct-12,4.16
Sep-12,3.7
Aug-12,3.63
Jul-12,3.63
Jun-12,3.4
May-12,3.17
Apr-12,3.05
Mar-12,3.19
Feb-12,3.58
Jan-12,3.81
Dec-11,4.21
Nov-11,4.34
Oct-11,4.46
Sep-11,4.75
Aug-11,4.9
Jul-11,5.06
Jun-11,5.07
May-11,4.96
Apr-11,4.88
Mar-11,4.54
Feb-11,4.77
Jan-11,4.87
Dec-10,4.92
Nov-10,4.36
Oct-10,4.32
Sep-10,4.33
Aug-10,4.66
Jul-10,5
Jun-10,4.9
May-10,
Apr-10,4.77
Mar-10,5.37
Feb-10,6.08
Jan-10,6.49
Dec-09,5.88
Nov-09,5.01
Oct-09,4.78
Sep-09,3.77
Aug-09,3.93
Jul-09,3.98
Jun-09,3.76
May-09,3.99
Apr-09,3.91
Mar-09,
Feb-09,4.67
Jan-09,5.47
Dec-08,6.06
Nov-08,5.41
Oct-08,5.73
Sep-08,6.55
Aug-08,8.25
Jul-08,10.92
Jun-08,11.5
May-08,10.47
Apr-08,9.91
Mar-08,9.23
Feb-08,8.4
Jan-08,7.66
