nodename1,nodename2,weight
Duke Energy,'Alabama',1
'Alabama','Georgia',1
Duke Energy,'Georgia',1
'Alabama','Florida',1
Duke Energy,'Florida',1
Duke Energy,'Argentina',1
'Argentina','Chile',1
Duke Energy,'Chile',1
'Argentina','Ecuador',1
Duke Energy,'Ecuador',1
'Argentina','El Salvador',1
Duke Energy,'El Salvador',1
'Argentina','Guatemala',1
Duke Energy,'Guatemala',1
'Argentina','Peru',1
Duke Energy,'Peru',1
Duke Energy,'California',1
'California','Colorado',1
Duke Energy,'Colorado',1
'California','New Mexico',1
Duke Energy,'New Mexico',1
Duke Energy,'California',1
'California','U.S.',1
Duke Energy,'U.S.',1
'California','California',1
Duke Energy,'California',1
Duke Energy,'Carolina',1
'Carolina','Tennessee',1
Duke Energy,'Tennessee',1
Duke Energy,'Carolinas',1
'Carolinas','Carolinas',1
Duke Energy,'Carolinas',1
'Carolinas','Carolinas',1
Duke Energy,'Carolinas',1
'Carolinas','Florida',1
Duke Energy,'Florida',1
'Carolinas','Florida',1
Duke Energy,'Florida',1
'Carolinas','Florida',1
Duke Energy,'Florida',1
'Carolinas','Indiana',1
Duke Energy,'Indiana',1
'Carolinas','Piedmont',1
Duke Energy,'Piedmont',1
Duke Energy,'Carolinas',1
'Carolinas','Carolinas',1
Duke Energy,'Carolinas',1
'Carolinas','Florida',1
Duke Energy,'Florida',1
'Carolinas','Florida',1
Duke Energy,'Florida',1
'Carolinas','Ohio',1
Duke Energy,'Ohio',1
'Carolinas','Ohio',1
Duke Energy,'Ohio',1
Duke Energy,'Carolinas',1
'Carolinas','Florida',1
Duke Energy,'Florida',1
Duke Energy,'Carolinas',1
'Carolinas','Florida',1
Duke Energy,'Florida',1
'Carolinas','Florida',1
Duke Energy,'Florida',1
Duke Energy,'Carolinas',1
'Carolinas','Florida',1
Duke Energy,'Florida',1
'Carolinas','Indiana',1
Duke Energy,'Indiana',1
Duke Energy,'Carolinas',1
'Carolinas','Florida',1
Duke Energy,'Florida',1
'Carolinas','Indiana',1
Duke Energy,'Indiana',1
'Carolinas','FLORIDA',1
Duke Energy,'FLORIDA',1
Duke Energy,'Carolinas',1
'Carolinas','Florida',1
Duke Energy,'Florida',1
'Carolinas','Indiana',1
Duke Energy,'Indiana',1
'Carolinas','Piedmont',1
Duke Energy,'Piedmont',1
Duke Energy,'Carolinas',1
'Carolinas','Florida',1
Duke Energy,'Florida',1
'Carolinas','New York',1
Duke Energy,'New York',1
'Carolinas','Cayman Islands',1
Duke Energy,'Cayman Islands',1
'Carolinas','New York Branch',1
Duke Energy,'New York Branch',1
Duke Energy,'Carolinas',1
'Carolinas','Florida',1
Duke Energy,'Florida',1
'Carolinas','Ohio',1
Duke Energy,'Ohio',1
Duke Energy,'Carolinas',1
'Carolinas','Florida',1
Duke Energy,'Florida',1
'Carolinas','Ohio',1
Duke Energy,'Ohio',1
'Carolinas','Indiana',1
Duke Energy,'Indiana',1
Duke Energy,'Carolinas',1
'Carolinas','Florida',1
Duke Energy,'Florida',1
'Carolinas','Ohio',1
Duke Energy,'Ohio',1
'Carolinas','Indiana',1
Duke Energy,'Indiana',1
'Carolinas','FLORIDA',1
Duke Energy,'FLORIDA',1
Duke Energy,'Carolinas',1
'Carolinas','Florida',1
Duke Energy,'Florida',1
'Carolinas','Ohio',1
Duke Energy,'Ohio',1
'Carolinas','Indiana',1
Duke Energy,'Indiana',1
'Carolinas','Piedmont',1
Duke Energy,'Piedmont',1
Duke Energy,'Carolinas',1
'Carolinas','Florida',1
Duke Energy,'Florida',1
'Carolinas','Ohio',1
Duke Energy,'Ohio',1
'Carolinas','Indiana',1
Duke Energy,'Indiana',1
'Carolinas','Piedmont',1
Duke Energy,'Piedmont',1
'Carolinas','Florida',1
Duke Energy,'Florida',1
'Carolinas','Indiana',1
Duke Energy,'Indiana',1
'Carolinas','Piedmont',1
Duke Energy,'Piedmont',1
Duke Energy,'Carolinas',1
'Carolinas','Florida',1
Duke Energy,'Florida',1
'Carolinas','Piedmont',1
Duke Energy,'Piedmont',1
Duke Energy,'Carolinas',1
'Carolinas','North  Carolina',1
Duke Energy,'North  Carolina',1
'Carolinas','South Carolina',1
Duke Energy,'South Carolina',1
Duke Energy,'Carolinas',1
'Carolinas','North Carolina',1
Duke Energy,'North Carolina',1
Duke Energy,'Carolinas',1
'Carolinas','North Carolina',1
Duke Energy,'North Carolina',1
'Carolinas','South Carolina',1
Duke Energy,'South Carolina',1
Duke Energy,'Carolinas',1
'Carolinas','Ohio',1
Duke Energy,'Ohio',1
'Carolinas','Florida',1
Duke Energy,'Florida',1
'Carolinas','Indiana',1
Duke Energy,'Indiana',1
Duke Energy,'Carolinas',1
'Carolinas','Ohio',1
Duke Energy,'Ohio',1
'Carolinas','Indiana',1
Duke Energy,'Indiana',1
Duke Energy,'Carolinas',1
'Carolinas','Ohio',1
Duke Energy,'Ohio',1
'Carolinas','Indiana',1
Duke Energy,'Indiana',1
'Carolinas','Piedmont',1
Duke Energy,'Piedmont',1
'Carolinas','Carolinas',1
Duke Energy,'Carolinas',1
'Carolinas','Florida',1
Duke Energy,'Florida',1
'Carolinas','Ohio',1
Duke Energy,'Ohio',1
'Carolinas','Carolinas',1
Duke Energy,'Carolinas',1
'Carolinas','Florida',1
Duke Energy,'Florida',1
'Carolinas','Indiana',1
Duke Energy,'Indiana',1
Duke Energy,'Carolinas',1
'Carolinas','Ohio',1
Duke Energy,'Ohio',1
'Carolinas','Kentucky',1
Duke Energy,'Kentucky',1
Duke Energy,'Carolinas',1
'Carolinas','Ohio',1
Duke Energy,'Ohio',1
'Carolinas','Kentucky',1
Duke Energy,'Kentucky',1
'Carolinas','Indiana',1
